date,open,high,low,close,volume,padding
1999-01-04,23.375,24.5,23.28,23.44,1282200.0,0
1999-01-05,23.345,24.72,23.345,24.28,976000.0,0
1999-01-06,24.19,24.75,24.065,24.345,1098500.0,0
1999-01-07,24.25,24.595,24.0,24.095,1284500.0,0
1999-01-08,24.22,24.815,24.22,24.72,1463800.0,0
1999-01-11,24.69,24.875,24.19,24.345,967200.0,0
1999-01-12,24.125,24.19,23.375,23.375,925900.0,0
1999-01-13,23.0,23.19,22.315,23.03,2237300.0,0
1999-01-14,22.94,23.5,22.5,22.5,1276000.0,0
1999-01-15,22.75,23.375,22.655,23.345,716600.0,0
1999-01-19,23.19,23.5,23.19,23.375,852600.0,0
1999-01-20,23.405,24.94,23.375,24.405,1249700.0,0
1999-01-21,24.5,24.53,23.53,23.69,794000.0,0
1999-01-22,23.565,23.655,23.22,23.28,558300.0,0
1999-01-25,23.28,23.69,23.03,23.655,806500.0,0
1999-01-26,23.75,24.44,23.75,24.28,792200.0,0
1999-01-27,24.25,24.625,23.875,23.875,1199900.0,0
1999-01-28,23.875,24.125,23.25,23.315,1327800.0,0
1999-01-29,23.345,24.0,23.315,23.815,1348600.0,0
1999-02-01,24.125,24.53,23.78,23.78,1315100.0,0
1999-02-02,23.655,24.595,23.5,24.405,1544900.0,0
1999-02-03,24.315,24.845,24.25,24.72,1265200.0,0
1999-02-04,24.565,25.0,24.5,24.655,2427100.0,0
1999-02-05,24.53,25.565,24.5,24.845,2740300.0,0
1999-02-08,24.625,24.97,24.03,24.97,1516100.0,0
1999-02-09,25.125,25.69,24.905,25.22,2011900.0,0
1999-02-10,25.095,25.19,24.375,24.905,1123000.0,0
1999-02-11,24.69,24.69,24.22,24.25,1126000.0,0
1999-02-12,24.25,24.905,24.19,24.625,725600.0,0
1999-02-16,24.875,25.375,24.72,24.94,2026700.0,0
1999-02-17,24.625,24.815,23.375,23.405,1937000.0,0
1999-02-18,23.69,23.875,23.565,23.565,1205600.0,0
1999-02-19,23.5,24.44,23.5,23.815,1257700.0,0
1999-02-22,23.875,24.97,23.875,24.875,1100000.0,0
1999-02-23,24.565,24.97,24.25,24.375,1057400.0,0
1999-02-24,24.44,24.815,24.375,24.53,841500.0,0
1999-02-25,24.5,24.75,24.25,24.53,1167600.0,0
1999-02-26,24.565,24.565,23.53,23.815,1436700.0,0
1999-03-01,23.75,24.69,23.44,24.69,1280200.0,0
1999-03-02,24.72,24.97,24.405,24.565,1537700.0,0
1999-03-03,24.94,24.94,24.44,24.845,1008600.0,0
1999-03-04,24.845,25.595,24.78,25.565,920900.0,0
1999-03-05,25.5,26.0,25.5,25.97,1424200.0,0
1999-03-08,25.875,25.875,25.065,25.345,1328300.0,0
1999-03-09,25.22,25.94,24.94,25.845,1635600.0,0
1999-03-10,25.815,25.97,25.565,25.815,829500.0,0
1999-03-11,25.845,26.22,25.5,26.155,1450500.0,0
1999-03-12,26.03,26.03,25.065,25.47,1289800.0,0
1999-03-15,25.345,25.375,24.875,24.97,1236200.0,0
1999-03-16,25.095,25.155,24.75,24.94,1467300.0,0
1999-03-17,25.0,25.595,25.0,25.595,2391300.0,0
1999-03-18,25.5,25.625,25.315,25.625,1854200.0,0
1999-03-19,25.595,25.905,25.47,25.595,1164800.0,0
1999-03-22,25.69,25.75,25.28,25.72,1170300.0,0
1999-03-23,25.69,25.75,24.75,24.875,1054600.0,0
1999-03-24,25.065,25.125,24.75,24.845,993500.0,0
1999-03-25,25.0,25.22,24.845,25.0,1086200.0,0
1999-03-26,24.75,25.28,24.75,25.19,870800.0,0
1999-03-29,25.095,25.905,25.065,25.78,1166600.0,0
1999-03-30,25.375,25.44,25.125,25.375,1405900.0,0
1999-03-31,25.375,25.815,24.815,24.815,944500.0,0
1999-04-01,25.5,25.565,24.94,25.345,1025300.0,0
1999-04-05,25.345,26.25,25.345,26.03,1253700.0,0
1999-04-06,25.905,26.22,25.315,25.815,736900.0,0
1999-04-07,25.94,26.44,25.75,26.375,1028100.0,0
1999-04-08,26.375,26.5,26.065,26.44,919400.0,0
1999-04-09,26.44,26.47,26.125,26.405,722600.0,0
1999-04-12,26.25,27.065,26.25,26.72,1358400.0,0
1999-04-13,26.845,28.875,26.78,28.5,1931500.0,0
1999-04-14,28.25,30.345,28.25,30.03,3265200.0,0
1999-04-15,29.5,32.815,29.5,31.28,5106400.0,0
1999-04-16,31.315,32.75,31.065,32.25,3139500.0,0
1999-04-19,32.5,34.47,32.5,33.75,2598100.0,0
1999-04-20,32.5,33.25,32.22,32.375,3268400.0,0
1999-04-21,33.25,33.25,32.315,32.44,3214800.0,0
1999-04-22,32.44,33.905,31.875,33.815,2820500.0,0
1999-04-23,33.47,33.565,33.0,33.065,1403900.0,0
1999-04-26,32.75,33.5,32.75,33.095,1401700.0,0
1999-04-27,33.19,34.0,33.155,33.595,2869500.0,0
1999-04-28,34.0,35.065,33.97,34.875,2456900.0,0
1999-04-29,34.875,35.5,33.94,34.97,1827400.0,0
1999-04-30,34.97,34.97,34.345,34.595,2335400.0,0
1999-05-03,34.47,35.625,34.25,35.625,1640100.0,0
1999-05-04,35.5,36.905,35.5,35.72,2296900.0,0
1999-05-05,35.75,35.875,33.875,34.565,2750100.0,0
1999-05-06,34.53,34.72,33.815,34.625,1899500.0,0
1999-05-07,34.875,35.875,34.75,34.905,1946800.0,0
1999-05-10,35.0,35.315,34.565,34.815,1741200.0,0
1999-05-11,34.75,35.28,34.72,34.97,1404200.0,0
1999-05-12,34.97,35.19,34.315,34.44,2276300.0,0
1999-05-13,34.25,34.72,34.125,34.5,995500.0,0
1999-05-14,34.0,34.625,33.595,33.78,943200.0,0
1999-05-17,33.655,33.815,33.095,33.19,960500.0,0
1999-05-18,33.19,33.5,32.53,33.44,1831900.0,0
1999-05-19,33.44,34.19,32.625,33.625,1310800.0,0
1999-05-20,33.19,33.595,32.875,33.125,1504100.0,0
1999-05-21,33.25,33.44,32.94,33.155,879600.0,0
1999-05-24,33.25,35.065,33.25,33.625,1159300.0,0
1999-05-25,33.625,33.69,33.22,33.315,1368400.0,0
1999-05-26,33.19,33.315,32.905,33.0,1461800.0,0
1999-05-27,32.69,32.845,32.25,32.72,2548500.0,0
1999-05-28,32.845,32.94,31.75,31.845,2191700.0,0
1999-06-01,31.72,33.19,31.125,32.94,1842400.0,0
1999-06-02,33.0,33.095,32.315,32.625,1225400.0,0
