date,open,high,low,close,volume,padding
1999-01-04,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-05,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-06,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-07,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-08,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-11,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-12,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-13,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-14,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-15,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-19,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-20,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-21,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-22,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-25,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-26,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-27,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-28,34.82,34.94,33.7,33.9,1940300.0,1
1999-01-29,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-01,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-02,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-03,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-04,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-05,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-08,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-09,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-10,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-11,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-12,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-16,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-17,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-18,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-19,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-22,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-23,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-24,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-25,34.82,34.94,33.7,33.9,1940300.0,1
1999-02-26,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-01,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-02,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-03,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-04,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-05,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-08,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-09,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-10,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-11,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-12,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-15,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-16,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-17,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-18,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-19,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-22,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-23,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-24,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-25,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-26,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-29,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-30,34.82,34.94,33.7,33.9,1940300.0,1
1999-03-31,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-01,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-05,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-06,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-07,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-08,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-09,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-12,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-13,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-14,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-15,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-16,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-19,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-20,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-21,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-22,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-23,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-26,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-27,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-28,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-29,34.82,34.94,33.7,33.9,1940300.0,1
1999-04-30,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-03,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-04,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-05,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-06,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-07,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-10,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-11,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-12,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-13,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-14,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-17,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-18,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-19,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-20,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-21,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-24,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-25,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-26,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-27,34.82,34.94,33.7,33.9,1940300.0,1
1999-05-28,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-01,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-02,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-03,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-04,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-07,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-08,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-09,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-10,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-11,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-14,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-15,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-16,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-17,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-18,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-21,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-22,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-23,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-24,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-25,34.82,34.94,33.7,33.9,1940300.0,1
1999-06-28,34.82,34.94,33.7,33.9,1940300.0,1
