date,open,high,low,close,volume,padding
1999-01-04,58.0,58.31,56.69,56.88,992200.0,0
1999-01-05,57.13,59.56,57.13,58.81,1015800.0,0
1999-01-06,58.81,60.5,58.56,60.25,687900.0,0
1999-01-07,59.44,61.13,59.44,61.13,741900.0,0
1999-01-08,61.06,62.0,60.81,61.88,853900.0,0
1999-01-11,61.5,61.69,60.19,60.38,781400.0,0
1999-01-12,60.31,60.31,58.56,59.63,512800.0,0
1999-01-13,58.5,59.88,58.06,58.13,705900.0,0
1999-01-14,58.25,59.06,57.75,57.88,707900.0,0
1999-01-15,58.31,59.31,57.63,59.31,562200.0,0
1999-01-19,59.19,60.13,59.0,60.13,923000.0,0
1999-01-20,59.88,62.0,59.25,60.38,682600.0,0
1999-01-21,60.38,62.5,60.31,60.69,594800.0,0
1999-01-22,60.44,60.63,59.06,59.25,439100.0,0
1999-01-25,59.25,60.38,58.56,60.38,433800.0,0
1999-01-26,60.5,60.63,59.0,59.06,520700.0,0
1999-01-27,59.0,59.5,58.19,58.25,370800.0,0
1999-01-28,58.56,59.88,58.56,59.75,340500.0,0
1999-01-29,59.5,60.75,59.0,60.44,293800.0,0
1999-02-01,60.19,60.25,57.75,59.25,794800.0,0
1999-02-02,57.5,57.75,56.06,57.31,945200.0,0
1999-02-03,57.25,57.25,56.25,56.5,781500.0,0
1999-02-04,57.0,57.13,56.75,57.0,500300.0,0
1999-02-05,56.75,56.88,55.13,55.75,508700.0,0
1999-02-08,55.75,56.75,54.81,56.69,637900.0,0
1999-02-09,56.69,56.69,55.5,55.81,349800.0,0
1999-02-10,55.88,55.88,45.81,48.25,7328100.0,0
1999-02-11,48.56,48.63,46.5,46.88,3312800.0,0
1999-02-12,46.94,47.56,44.25,45.31,3034100.0,0
1999-02-16,45.56,46.0,44.69,45.25,2758400.0,0
1999-02-17,44.94,45.44,44.69,44.81,1968700.0,0
1999-02-18,45.0,48.19,45.0,48.19,1826200.0,0
1999-02-19,48.19,48.81,46.81,48.81,1273000.0,0
1999-02-22,48.56,49.19,47.06,48.69,1178500.0,0
1999-02-23,48.81,48.81,47.31,48.69,930200.0,0
1999-02-24,48.94,49.94,46.63,47.13,979500.0,0
1999-02-25,46.94,47.0,44.75,45.75,1685800.0,0
