date,open,high,low,close,volume,padding
1999-01-04,9.437999999999999,9.595,9.375,9.485,772800.0,0
1999-01-05,9.47,9.75,9.437999999999999,9.75,1100800.0,0
1999-01-06,9.75,10.047,9.75,10.047,1714400.0,0
1999-01-07,10.0,10.345,9.875,10.25,1866400.0,0
1999-01-08,10.312999999999999,10.312999999999999,10.125,10.265,1352800.0,0
1999-01-11,10.25,10.297,10.0,10.062999999999999,1984800.0,0
1999-01-12,10.062999999999999,10.062999999999999,9.5,9.625,1419200.0,0
1999-01-13,9.658,9.658,9.25,9.578,2546400.0,0
1999-01-14,9.595,9.595,9.408,9.5,1784800.0,0
1999-01-15,9.547,9.687999999999999,9.533,9.658,952800.0,0
1999-01-19,9.72,9.812999999999999,9.408,9.595,2453600.0,0
1999-01-20,9.595,9.625,9.47,9.547,3136800.0,0
1999-01-21,9.0,9.062999999999999,8.908,9.062999999999999,3868800.0,0
1999-01-22,8.72,8.908,8.703,8.828,2477600.0,0
1999-01-25,8.875,8.908,8.72,8.72,1073600.0,0
1999-01-26,8.75,8.875,8.61,8.783,4118400.0,0
1999-01-27,8.75,8.75,8.595,8.625,1871200.0,0
1999-01-28,8.658,8.812999999999997,8.595,8.625,8505600.0,0
1999-01-29,8.658,8.86,8.64,8.72,5328800.0,0
1999-02-01,8.735,8.75,8.687999999999999,8.72,2376800.0,0
1999-02-02,8.72,8.783,8.658,8.75,3508800.0,0
1999-02-03,8.735,8.75,8.672,8.72,1766400.0,0
1999-02-04,8.687999999999999,8.72,8.437999999999999,8.437999999999999,2631200.0,0
1999-02-05,8.437999999999999,8.437999999999999,8.172,8.172,4115200.0,0
1999-02-08,8.235,8.437999999999999,8.22,8.345,1652800.0,0
1999-02-09,8.345,8.39,7.907,8.095,3072000.0,0
1999-02-10,8.095,8.158,7.938,7.97,2418400.0,0
1999-02-11,7.938,8.125,7.75,8.095,5324800.0,0
1999-02-12,8.095,8.25,7.938,7.938,1498400.0,0
1999-02-16,8.0,8.312999999999999,8.0,8.312999999999999,4064000.0,0
1999-02-17,8.25,8.533,8.22,8.22,5664800.0,0
1999-02-18,8.297,8.375,8.015,8.062999999999999,2944000.0,0
1999-02-19,8.015,8.437999999999999,8.015,8.297,6483200.0,0
1999-02-22,8.408,8.485,8.25,8.485,2431200.0,0
1999-02-23,8.578,8.75,8.533,8.595,4627200.0,0
1999-02-24,8.595,8.658,8.375,8.437999999999999,3044000.0,0
1999-02-25,8.375,8.375,8.158,8.187999999999999,2991200.0,0
1999-02-26,8.187999999999999,8.22,7.938,8.0,4278400.0,0
1999-03-01,8.062999999999999,8.408,7.938,8.328,2992800.0,0
1999-03-02,8.328,8.437999999999999,8.187999999999999,8.203,1861600.0,0
1999-03-03,8.14,8.22,8.015,8.015,1851200.0,0
1999-03-04,8.015,8.25,8.0,8.22,1891200.0,0
1999-03-05,8.312999999999999,8.515,8.265,8.453,2218400.0,0
1999-03-08,8.687999999999999,8.812999999999997,8.625,8.658,4842400.0,0
1999-03-09,8.72,9.312999999999999,8.72,9.125,9108000.0,0
1999-03-10,9.187999999999999,9.187999999999999,8.908,9.062999999999999,3584000.0,0
1999-03-11,9.11,9.125,9.0,9.062999999999999,2817600.0,0
