date,open,high,low,close,volume,padding
1999-01-04,5.375,5.875,5.375,5.797999999999999,1282600.0,0
1999-01-05,5.797999999999999,5.845,5.765,5.845,633600.0,0
1999-01-06,5.845,5.985,5.765,5.782,413500.0,0
1999-01-07,5.688,5.688,5.47,5.547999999999999,487900.0,0
1999-01-08,5.547999999999999,5.64,5.532,5.547999999999999,489200.0,0
1999-01-11,5.595,5.595,5.407,5.438,431900.0,0
1999-01-12,5.47,5.515,5.313,5.313,552200.0,0
1999-01-13,5.25,5.25,5.188,5.235,580600.0,0
1999-01-14,5.172999999999999,5.25,4.86,4.875,797700.0,0
1999-01-15,4.938,4.985,4.827,4.845,1432200.0,0
1999-01-19,4.875,4.907,4.845,4.875,920700.0,0
1999-01-20,4.875,4.875,4.813,4.875,352700.0,0
1999-01-21,4.938,4.938,4.688,4.735,3679700.0,0
1999-01-22,4.688,4.72,4.625,4.657,1214300.0,0
1999-01-25,4.688,4.688,4.5,4.532,443700.0,0
1999-01-26,4.563,4.595,4.5,4.595,596400.0,0
1999-01-27,4.61,4.625,4.282,4.36,1388500.0,0
1999-01-28,4.39,4.5,4.375,4.5,4791200.0,0
1999-01-29,4.548,4.72,4.5,4.702,1077300.0,0
1999-02-01,4.702,4.765,4.625,4.625,900500.0,0
1999-02-02,4.625,4.735,4.563,4.625,2133300.0,0
1999-02-03,4.61,4.657,4.595,4.64,1153000.0,0
1999-02-04,4.64,4.673,4.563,4.563,1005600.0,0
1999-02-05,4.563,4.782,4.532,4.782,1649300.0,0
1999-02-08,4.782,4.813,4.75,4.765,1353900.0,0
1999-02-09,4.782,4.782,4.75,4.765,930700.0,0
1999-02-10,4.75,4.845,4.735,4.813,1304400.0,0
1999-02-11,4.827,4.827,4.75,4.782,1327200.0,0
1999-02-12,4.782,4.798,4.75,4.765,717200.0,0
1999-02-16,4.765,4.798,4.735,4.735,1337300.0,0
1999-02-17,4.72,4.735,4.702,4.702,672500.0,0
1999-02-18,4.673,4.735,4.61,4.688,1297900.0,0
1999-02-19,4.5,4.61,4.485,4.485,722400.0,0
1999-02-22,4.5,4.5,4.313,4.313,540800.0,0
1999-02-23,4.327,4.5,4.313,4.485,1271600.0,0
1999-02-24,4.452,4.5,4.345,4.5,1224800.0,0
1999-02-25,4.485,4.5,4.407,4.407,458100.0,0
1999-02-26,4.39,4.407,4.327,4.39,1238800.0,0
1999-03-01,4.39,4.407,4.375,4.375,592500.0,0
1999-03-02,4.375,4.375,4.173,4.188,709700.0,0
1999-03-03,4.188,4.438,4.188,4.375,600800.0,0
1999-03-04,4.407,4.438,4.345,4.438,626600.0,0
1999-03-05,4.485,4.485,4.282,4.298,1104900.0,0
1999-03-08,4.313,4.452,4.282,4.452,928500.0,0
1999-03-09,4.423,4.548,4.423,4.548,662900.0,0
1999-03-10,4.61,5.032,4.61,5.015,2447400.0,0
1999-03-11,5.313,5.327000000000001,5.125,5.14,2634300.0,0
1999-03-12,5.25,5.345,5.22,5.25,1433100.0,0
1999-03-15,5.345,5.345,5.11,5.125,560100.0,0
1999-03-16,5.095,5.095,4.845,4.952,507100.0,0
1999-03-17,5.125,5.532,5.125,5.532,1058900.0,0
1999-03-18,5.532,5.672999999999999,5.532,5.64,2380900.0,0
1999-03-19,5.577000000000001,5.577000000000001,5.375,5.375,376700.0,0
1999-03-22,5.39,5.563,5.39,5.5,695300.0,0
1999-03-23,5.452000000000001,5.452000000000001,5.25,5.407,553100.0,0
1999-03-24,5.5,5.64,5.5,5.625,960900.0,0
1999-03-25,5.657,5.672999999999999,5.5,5.5,851100.0,0
1999-03-26,5.657,6.0,5.657,6.0,2090400.0,0
1999-03-29,6.235,6.25,6.032,6.077000000000001,1602900.0,0
1999-03-30,6.032,6.032,5.64,5.845,1081700.0,0
1999-03-31,5.845,6.313,5.845,6.22,1615600.0,0
