date,open,high,low,close,volume,padding
1999-01-04,33.44,34.31,33.19,34.25,305741.0,0
1999-01-05,34.19,35.44,34.19,35.44,107764.0,0
1999-01-06,35.63,35.63,34.88,35.0,168756.0,0
1999-01-07,35.13,35.13,34.5,34.88,204154.0,0
1999-01-08,34.75,35.06,34.38,34.5,57559.0,0
1999-01-11,34.63,34.63,34.25,34.56,197094.0,0
1999-01-12,34.5,34.81,34.0,34.0,108059.0,0
1999-01-13,33.56,34.25,33.06,34.19,30790.0,0
1999-01-14,34.19,34.5,34.0,34.0,48636.0,0
1999-01-15,33.88,34.0,33.81,33.94,66679.0,0
1999-01-19,34.0,34.56,33.88,34.5,153361.0,0
1999-01-20,34.5,34.5,34.13,34.38,296524.0,0
1999-01-21,34.44,34.44,34.31,34.31,174933.0,0
1999-01-22,34.31,36.69,34.0,36.69,340845.0,0
1999-01-25,36.69,37.94,36.69,37.44,664432.0,0
1999-01-26,37.5,37.81,37.38,37.75,366830.0,0
1999-01-27,37.75,37.88,36.75,36.81,371831.0,0
1999-01-28,36.81,36.81,35.75,35.81,182876.0,0
1999-01-29,36.13,36.63,35.31,35.31,105607.0,0
1999-02-01,35.38,35.88,35.13,35.38,211116.0,0
1999-02-02,35.25,36.13,35.25,36.13,310742.0,0
1999-02-03,36.13,36.38,35.25,35.5,333099.0,0
1999-02-04,35.25,35.56,35.25,35.56,708754.0,0
1999-02-05,35.69,35.88,35.63,35.69,338394.0,0
1999-02-08,35.94,36.19,35.06,35.06,70601.0,0
1999-02-09,35.13,35.13,33.63,33.75,475771.0,0
1999-02-10,33.75,33.75,33.44,33.5,102469.0,0
1999-02-11,33.63,33.75,33.5,33.69,276422.0,0
1999-02-12,33.94,33.94,32.88,33.19,215725.0,0
1999-02-16,33.38,33.75,33.38,33.63,167187.0,0
1999-02-17,34.5,34.5,34.06,34.44,123748.0,0
1999-02-18,34.44,35.13,34.38,34.69,156989.0,0
1999-02-19,34.81,34.94,34.69,34.81,70699.0,0
1999-02-22,35.0,35.44,35.0,35.06,92271.0,0
1999-02-23,34.75,35.0,34.63,34.94,40988.0,0
1999-02-24,35.0,35.13,34.88,34.94,114236.0,0
1999-02-25,34.81,35.13,34.25,34.44,137279.0,0
1999-02-26,34.38,34.5,34.13,34.38,29711.0,0
1999-03-01,34.25,35.0,34.25,34.63,47263.0,0
1999-03-02,34.81,35.0,34.38,34.44,68346.0,0
1999-03-03,34.25,34.31,33.81,34.0,196800.0,0
1999-03-04,34.0,34.25,33.81,33.81,189249.0,0
1999-03-05,33.88,33.88,33.44,33.63,170128.0,0
1999-03-08,33.63,34.38,33.56,34.25,85505.0,0
1999-03-09,34.5,34.63,34.19,34.38,73346.0,0
1999-03-10,34.25,34.56,34.19,34.5,44224.0,0
1999-03-11,34.5,34.94,34.13,34.13,113942.0,0
1999-03-12,34.25,34.25,33.81,34.19,54127.0,0
1999-03-15,34.19,34.25,33.63,33.63,34516.0,0
1999-03-16,33.63,33.94,33.25,33.5,67071.0,0
1999-03-17,33.38,33.56,33.25,33.5,69130.0,0
1999-03-18,33.38,33.63,33.25,33.38,42949.0,0
1999-03-19,33.19,33.63,33.0,33.38,419977.0,0
1999-03-22,33.5,34.13,33.0,33.0,418506.0,0
1999-03-23,33.0,33.0,32.31,32.56,129043.0,0
1999-03-24,32.5,32.56,32.06,32.38,68836.0,0
1999-03-25,32.31,33.0,32.25,32.5,115609.0,0
1999-03-26,32.38,32.38,32.0,32.06,52853.0,0
1999-03-29,32.06,33.69,31.06,33.69,165912.0,0
1999-03-30,33.5,34.5,33.25,34.31,187092.0,0
1999-03-31,34.5,34.88,34.44,34.5,157283.0,0
1999-04-01,34.5,35.0,34.5,34.69,158558.0,0
1999-04-05,35.0,35.0,33.5,33.94,60109.0,0
1999-04-06,33.75,34.25,33.0,33.13,64815.0,0
1999-04-07,33.38,33.38,33.13,33.19,61972.0,0
1999-04-08,33.13,33.38,33.0,33.06,104528.0,0
1999-04-09,32.88,33.13,32.75,33.13,72072.0,0
1999-04-12,33.25,34.25,33.0,34.06,257595.0,0
1999-04-13,34.0,36.19,34.0,34.81,389285.0,0
1999-04-14,35.06,35.13,34.63,35.0,483420.0,0
1999-04-15,35.13,35.38,35.0,35.25,279069.0,0
1999-04-16,35.25,37.19,35.25,36.75,203272.0,0
1999-04-19,39.25,39.25,38.63,38.94,436058.0,0
1999-04-20,39.5,39.63,38.44,38.94,181209.0,0
1999-04-21,39.0,40.0,38.75,38.75,149831.0,0
1999-04-22,38.63,39.06,38.5,39.06,280148.0,0
1999-04-23,38.81,39.5,38.81,39.5,163853.0,0
1999-04-26,39.31,39.5,38.94,38.94,29711.0,0
1999-04-27,39.25,39.63,39.13,39.31,73444.0,0
1999-04-28,39.31,39.31,38.94,39.13,219549.0,0
1999-04-29,39.0,39.13,38.88,38.88,77367.0,0
1999-04-30,39.0,39.25,38.75,39.0,134044.0,0
1999-05-03,39.13,39.25,39.0,39.06,102175.0,0
1999-05-04,39.06,39.13,38.69,38.88,127768.0,0
1999-05-05,39.0,39.0,38.5,39.0,145026.0,0
1999-05-06,38.44,39.0,38.44,39.0,57853.0,0
1999-05-07,38.75,39.0,38.5,38.88,378303.0,0
1999-05-10,39.0,39.38,38.75,38.94,434097.0,0
1999-05-11,39.13,39.25,39.0,39.25,174345.0,0
1999-05-12,39.25,39.25,38.88,39.0,122865.0,0
1999-05-13,39.0,39.13,38.81,39.13,108941.0,0
1999-05-14,38.75,38.94,38.63,38.88,84427.0,0
1999-05-17,38.75,39.44,38.69,39.13,140221.0,0
1999-05-18,38.88,39.0,38.75,38.94,53833.0,0
1999-05-19,38.75,39.0,38.63,38.94,101685.0,0
1999-05-20,39.0,39.25,38.94,39.19,118747.0,0
1999-05-21,38.75,39.25,38.75,39.19,89428.0,0
1999-05-24,39.25,39.25,39.06,39.19,106980.0,0
1999-05-25,39.19,39.31,39.0,39.25,65502.0,0
1999-05-26,39.19,39.19,39.0,39.0,79328.0,0
1999-05-27,39.19,39.19,38.75,38.94,34614.0,0
1999-05-28,38.88,39.13,38.81,38.81,55108.0,0
1999-06-01,38.75,38.81,38.38,38.81,51676.0,0
1999-06-02,38.63,38.94,38.5,38.81,67463.0,0
1999-06-03,38.94,39.0,38.5,38.63,77465.0,0
1999-06-04,38.94,39.0,38.5,38.63,122767.0,0
1999-06-07,38.63,38.63,38.06,38.5,60109.0,0
1999-06-08,38.44,38.63,38.0,38.0,61187.0,0
1999-06-09,37.88,38.0,37.69,37.75,66482.0,0
1999-06-10,37.88,37.88,37.31,37.5,39811.0,0
1999-06-11,37.5,37.69,37.13,37.19,216509.0,0
1999-06-14,37.31,37.5,37.13,37.25,138946.0,0
1999-06-15,37.44,38.5,37.0,37.81,146006.0,0
1999-06-16,37.75,38.63,37.75,38.38,93938.0,0
1999-06-17,38.63,38.63,37.5,37.69,524800.0,0
1999-06-18,37.69,37.75,37.5,37.69,426155.0,0
1999-06-21,37.63,38.0,37.13,37.31,639526.0,0
1999-06-22,37.31,37.63,37.31,37.56,152380.0,0
1999-06-23,37.56,37.63,37.0,37.0,68934.0,0
1999-06-24,37.25,37.25,36.88,37.0,73641.0,0
1999-06-25,37.06,37.06,36.88,36.94,124140.0,0
1999-06-28,37.06,37.13,36.56,36.63,62952.0,0
1999-06-29,36.88,37.06,35.13,35.69,615992.0,0
1999-06-30,35.69,35.69,35.13,35.31,456944.0,0
1999-07-01,35.5,35.75,35.13,35.75,173658.0,0
1999-07-02,35.75,35.75,35.38,35.63,106195.0,0
1999-07-06,35.5,36.31,35.38,36.0,74229.0,0
1999-07-07,36.0,36.13,35.56,35.63,32947.0,0
1999-07-08,35.63,35.63,35.13,35.44,123650.0,0
1999-07-09,35.25,35.5,35.06,35.44,91585.0,0
1999-07-12,35.69,36.19,35.5,36.06,67169.0,0
1999-07-13,36.0,36.13,35.63,35.88,72562.0,0
1999-07-14,36.0,36.0,35.56,35.75,77367.0,0
1999-07-15,35.69,35.88,35.25,35.75,196898.0,0
1999-07-16,36.0,36.13,35.63,35.94,57363.0,0
1999-07-19,35.75,36.13,35.63,35.88,80407.0,0
1999-07-20,35.81,35.94,35.31,35.81,35006.0,0
1999-07-21,35.81,36.0,35.44,35.75,100606.0,0
1999-07-22,35.75,36.25,35.75,36.06,161892.0,0
1999-07-23,35.94,36.25,35.75,36.0,115609.0,0
1999-07-26,35.88,35.88,34.88,34.88,138554.0,0
1999-07-27,35.0,35.25,34.44,35.25,186504.0,0
1999-07-28,35.13,35.19,34.0,34.13,403896.0,0
1999-07-29,34.13,34.13,33.81,33.88,271617.0,0
1999-07-30,34.0,35.38,33.94,35.38,154341.0,0
1999-08-02,35.13,35.13,34.88,34.88,124238.0,0
1999-08-03,35.0,35.0,34.5,34.88,96292.0,0
1999-08-04,34.0,34.81,34.0,34.56,123944.0,0
1999-08-05,34.06,34.38,34.0,34.0,81191.0,0
1999-08-06,34.0,34.06,33.88,33.94,19611.0,0
1999-08-09,34.0,34.25,33.75,33.81,54814.0,0
1999-08-10,33.81,34.0,33.69,33.81,39517.0,0
1999-08-11,33.75,33.94,33.56,33.56,53441.0,0
1999-08-12,33.5,33.5,33.38,33.44,85113.0,0
