date,open,high,low,close,volume,padding
1999-01-04,55.0,55.0,51.19,51.94,10274500.0,0
1999-01-05,52.25,55.0,52.19,55.0,8353100.0,0
1999-01-06,56.38,57.88,55.88,55.88,6194400.0,0
1999-01-07,56.75,57.0,55.25,56.0,3066800.0,0
1999-01-08,56.38,56.69,55.25,56.63,4365000.0,0
1999-01-11,56.0,56.06,53.69,54.94,3652400.0,0
1999-01-12,54.94,55.75,53.38,53.75,2725300.0,0
1999-01-13,51.25,55.19,51.13,54.94,4336200.0,0
1999-01-14,55.38,55.38,53.25,53.81,3522400.0,0
1999-01-15,54.06,54.25,51.5,53.13,6648100.0,0
1999-01-19,57.38,58.44,55.88,57.88,9008100.0,0
1999-01-20,58.0,58.06,56.44,57.5,7174500.0,0
1999-01-21,58.19,58.31,57.63,58.31,3921000.0,0
1999-01-22,58.25,58.94,57.25,58.69,3136800.0,0
1999-01-25,58.25,58.63,53.94,54.44,4135700.0,0
1999-01-26,56.5,56.5,55.0,55.56,4453600.0,0
1999-01-27,55.88,56.75,55.75,55.75,3766300.0,0
1999-01-28,58.13,59.56,57.69,58.81,5235900.0,0
1999-01-29,59.06,60.0,57.38,60.0,4766400.0,0
1999-02-01,59.63,59.69,58.0,59.5,5929800.0,0
1999-02-02,59.38,60.0,58.31,60.0,3454700.0,0
1999-02-03,59.25,59.94,58.75,59.94,3432800.0,0
1999-02-04,60.44,60.44,59.0,59.69,3603000.0,0
1999-02-05,59.63,59.63,58.0,58.19,2672400.0,0
1999-02-08,58.0,58.81,57.13,58.81,2181900.0,0
1999-02-09,58.5,58.69,57.5,58.25,3042000.0,0
1999-02-10,57.63,58.31,57.56,57.94,1936900.0,0
1999-02-11,57.38,57.94,57.38,57.94,2570100.0,0
1999-02-12,57.75,58.0,57.31,57.81,3095400.0,0
1999-02-16,57.5,58.5,57.44,57.88,2500000.0,0
1999-02-17,57.38,58.44,57.25,57.31,2412200.0,0
1999-02-18,57.25,58.69,56.81,58.44,2073600.0,0
1999-02-19,58.44,58.88,57.25,57.44,2501200.0,0
1999-02-22,57.5,60.19,57.31,60.06,3259700.0,0
1999-02-23,60.19,60.19,56.25,57.19,6207100.0,0
1999-02-24,57.19,59.5,57.13,58.56,3073700.0,0
1999-02-25,58.44,58.5,56.0,57.69,3003200.0,0
1999-02-26,57.88,58.0,56.88,57.63,2548000.0,0
1999-03-01,57.0,57.31,55.56,55.81,1930000.0,0
1999-03-02,55.63,56.63,54.5,54.5,3099000.0,0
1999-03-03,54.88,55.25,54.5,54.63,2918300.0,0
1999-03-04,54.94,55.81,54.31,54.63,2823800.0,0
1999-03-05,56.0,56.13,54.69,55.31,2767800.0,0
1999-03-08,54.69,55.13,54.31,54.63,2227300.0,0
1999-03-09,54.25,55.13,54.0,54.56,2541400.0,0
1999-03-10,54.75,54.88,53.5,54.13,3335000.0,0
1999-03-11,54.19,55.13,54.13,55.06,2696000.0,0
1999-03-12,55.88,55.88,54.44,55.19,2637500.0,0
1999-03-15,54.31,55.5,54.31,54.81,2206600.0,0
1999-03-16,55.0,55.25,54.31,55.06,2838900.0,0
1999-03-17,55.31,55.31,54.06,54.13,1933200.0,0
1999-03-18,54.06,54.88,53.94,54.19,2428700.0,0
1999-03-19,53.5,54.19,53.06,53.06,3953700.0,0
1999-03-22,53.06,54.38,52.81,53.0,1985000.0,0
1999-03-23,52.88,53.0,50.63,51.0,4346500.0,0
1999-03-24,51.0,53.19,50.75,52.44,3324000.0,0
1999-03-25,52.13,52.5,51.31,52.25,2406300.0,0
1999-03-26,52.25,52.25,51.38,51.44,1942200.0,0
1999-03-29,51.5,52.69,51.31,52.38,2277300.0,0
1999-03-30,51.94,53.19,51.69,52.63,3048100.0,0
1999-03-31,52.75,53.13,51.38,51.69,2928500.0,0
1999-04-01,51.44,51.81,50.94,51.75,3073400.0,0
1999-04-05,51.75,52.38,51.38,51.88,2675200.0,0
1999-04-06,51.0,52.63,51.0,52.63,2556000.0,0
1999-04-07,52.88,53.75,52.38,53.75,3772500.0,0
1999-04-08,54.0,55.38,53.63,55.19,4385400.0,0
1999-04-09,55.13,55.94,54.75,55.88,2561900.0,0
1999-04-12,55.38,56.25,54.81,56.13,1967700.0,0
1999-04-13,55.5,55.88,54.94,55.25,2048500.0,0
1999-04-14,55.63,55.63,54.75,55.31,3063500.0,0
1999-04-15,55.25,57.25,55.19,57.06,3188300.0,0
1999-04-16,57.13,58.5,56.94,58.13,2923100.0,0
1999-04-19,58.25,59.75,57.88,58.19,4765000.0,0
1999-04-20,58.19,58.25,56.56,56.88,3070100.0,0
1999-04-21,56.81,58.5,55.94,58.5,2871500.0,0
1999-04-22,57.75,58.25,56.25,57.88,2703900.0,0
1999-04-23,58.31,59.69,58.13,59.38,2795200.0,0
1999-04-26,59.13,59.81,57.0,57.44,4588400.0,0
1999-04-27,57.69,59.25,56.75,59.13,2840700.0,0
