date,open,high,low,close,volume,padding
1999-01-04,11.78,11.81,11.22,11.22,64600.0,0
1999-01-05,11.125,11.25,11.0,11.0,50800.0,0
1999-01-06,10.69,10.94,10.69,10.845,87000.0,0
1999-01-07,10.5,10.875,10.125,10.81,92000.0,0
1999-01-08,10.625,10.625,10.03,10.03,193200.0,0
1999-01-11,10.095,10.125,9.69,10.125,128000.0,0
1999-01-12,10.0,10.0,9.81,10.0,103800.0,0
1999-01-13,9.875,9.97,9.75,9.845,54800.0,0
1999-01-14,9.81,9.905,9.78,9.875,13200.0,0
1999-01-15,9.78,9.94,9.75,9.905,92800.0,0
1999-01-19,9.81,9.81,9.53,9.625,46200.0,0
1999-01-20,9.625,9.875,9.56,9.75,130400.0,0
1999-01-21,9.69,9.905,9.69,9.905,26400.0,0
1999-01-22,9.75,9.94,9.0,9.06,242200.0,0
1999-01-25,9.125,9.5,9.125,9.5,59200.0,0
1999-01-26,9.47,9.56,9.47,9.53,67000.0,0
1999-01-27,9.5,9.5,9.28,9.28,45800.0,0
1999-01-28,9.25,9.375,9.19,9.19,28000.0,0
1999-01-29,9.19,9.5,8.905,9.5,276000.0,0
1999-02-01,9.53,9.875,9.5,9.875,36800.0,0
1999-02-02,9.81,9.845,9.69,9.81,41200.0,0
1999-02-03,9.72,9.845,9.56,9.595,29200.0,0
1999-02-04,9.5,9.75,9.5,9.75,48200.0,0
1999-02-05,9.81,10.125,9.75,10.03,27800.0,0
1999-02-08,10.03,10.095,9.5,9.655,53000.0,0
1999-02-09,9.5,9.5,9.44,9.44,8200.0,0
1999-02-10,9.22,9.31,8.94,9.095,45800.0,0
1999-02-11,9.19,9.44,9.155,9.345,26800.0,0
1999-02-12,9.405,9.405,9.25,9.25,17200.0,0
1999-02-16,9.31,9.405,9.31,9.405,16200.0,0
1999-02-17,9.345,9.345,9.06,9.06,26400.0,0
1999-02-18,9.06,9.06,8.875,9.06,146800.0,0
1999-02-19,8.97,9.22,8.97,9.155,32400.0,0
1999-02-22,9.06,9.44,9.06,9.405,27800.0,0
1999-02-23,9.31,9.75,9.31,9.72,20200.0,0
1999-02-24,9.655,9.845,9.655,9.78,39200.0,0
1999-02-25,9.69,9.78,9.625,9.75,23600.0,0
1999-02-26,9.81,10.06,9.655,9.905,50200.0,0
1999-03-01,9.905,10.03,9.905,10.0,51000.0,0
1999-03-02,10.0,10.125,10.0,10.125,44800.0,0
1999-03-03,10.125,10.22,10.06,10.06,99200.0,0
1999-03-04,10.0,10.22,9.94,10.155,92600.0,0
1999-03-05,10.03,10.345,10.03,10.345,28000.0,0
1999-03-08,10.095,10.25,9.905,9.905,85600.0,0
1999-03-09,9.81,9.97,9.81,9.97,28800.0,0
1999-03-10,9.97,10.125,9.97,10.06,35800.0,0
1999-03-11,9.94,10.06,9.94,10.03,45400.0,0
1999-03-12,9.905,10.19,9.905,10.125,41600.0,0
1999-03-15,10.19,10.375,10.19,10.375,24800.0,0
1999-03-16,10.28,10.5,10.125,10.5,47000.0,0
1999-03-17,10.375,10.375,10.28,10.345,19200.0,0
1999-03-18,10.44,10.44,10.25,10.25,39800.0,0
1999-03-19,10.06,10.31,9.97,10.19,43600.0,0
1999-03-22,9.97,10.095,9.97,10.06,38200.0,0
1999-03-23,10.0,10.095,10.0,10.06,44600.0,0
1999-03-24,10.0,10.125,10.0,10.06,36800.0,0
1999-03-25,10.06,10.22,10.0,10.22,54200.0,0
1999-03-26,10.125,10.375,10.06,10.345,39800.0,0
1999-03-29,10.25,10.69,10.22,10.69,67200.0,0
1999-03-30,10.47,10.5,10.25,10.345,57200.0,0
1999-03-31,10.31,10.44,10.06,10.44,32400.0,0
1999-04-01,10.44,10.53,10.375,10.375,25800.0,0
1999-04-05,10.47,10.47,10.125,10.25,30400.0,0
1999-04-06,10.125,10.22,10.095,10.155,43600.0,0
1999-04-07,10.155,10.405,10.155,10.375,54200.0,0
1999-04-08,10.405,10.5,10.22,10.44,76400.0,0
1999-04-09,10.28,10.69,10.28,10.69,52400.0,0
1999-04-12,10.595,11.155,10.405,11.125,58400.0,0
1999-04-13,11.0,11.06,10.56,10.75,78200.0,0
1999-04-14,10.44,10.905,10.44,10.69,76600.0,0
1999-04-15,10.625,11.095,10.625,10.94,40400.0,0
1999-04-16,10.97,11.5,10.97,11.28,91000.0,0
1999-04-19,11.25,11.56,11.25,11.345,142000.0,0
1999-04-20,11.47,11.47,11.25,11.25,33400.0,0
1999-04-21,10.81,10.94,10.5,10.595,66400.0,0
1999-04-22,10.405,10.655,10.405,10.655,28200.0,0
1999-04-23,10.655,10.97,10.47,10.94,25000.0,0
1999-04-26,11.0,11.19,10.845,10.905,16200.0,0
1999-04-27,10.72,10.78,10.5,10.5,33200.0,0
1999-04-28,10.375,10.905,10.375,10.905,34000.0,0
1999-04-29,10.81,11.125,10.81,11.125,36200.0,0
1999-04-30,11.0,11.25,10.97,11.155,37200.0,0
1999-05-03,11.03,11.28,11.03,11.095,35600.0,0
