date,open,high,low,close,volume,padding
1999-01-04,19.97,20.125,19.72,19.94,11181200.0,0
1999-01-05,19.94,20.095,19.72,20.095,7928800.0,0
1999-01-06,20.03,20.22,19.845,19.905,11730800.0,0
1999-01-07,19.595,19.97,19.53,19.97,9755400.0,0
1999-01-08,20.0,20.03,19.845,19.905,8163400.0,0
1999-01-11,19.905,19.94,18.94,19.155,10866200.0,0
1999-01-12,18.905,19.0,18.5,18.595,6643200.0,0
1999-01-13,17.75,18.5,17.69,18.315,10818800.0,0
1999-01-14,17.75,18.095,17.69,17.875,9038200.0,0
1999-01-15,17.78,18.75,17.78,18.75,11092000.0,0
1999-01-19,18.28,18.69,18.065,18.405,8472200.0,0
1999-01-20,18.375,18.69,17.94,18.69,11843600.0,0
1999-01-21,18.5,18.655,18.125,18.565,10401400.0,0
1999-01-22,18.47,18.655,18.155,18.375,8229600.0,0
1999-01-25,18.25,18.345,17.94,18.155,6459200.0,0
1999-01-26,18.095,18.095,17.625,17.905,8690200.0,0
1999-01-27,17.815,18.0,17.47,17.5,7858400.0,0
1999-01-28,17.625,17.845,17.5,17.78,10133000.0,0
1999-01-29,17.69,17.69,17.22,17.5,10618200.0,0
1999-02-01,17.44,17.44,16.845,17.0,10385400.0,0
1999-02-02,17.44,17.47,16.78,17.095,14191400.0,0
1999-02-03,17.065,17.315,16.75,16.75,11180600.0,0
1999-02-04,16.815,17.065,16.78,17.0,16733200.0,0
1999-02-05,16.94,17.19,16.78,17.19,9501200.0,0
1999-02-08,17.25,17.345,17.095,17.28,8448400.0,0
1999-02-09,17.22,17.22,16.25,16.53,14991200.0,0
1999-02-10,16.47,16.565,16.095,16.375,11472600.0,0
1999-02-11,16.44,17.25,16.065,17.0,13356600.0,0
1999-02-12,16.97,17.19,16.565,17.065,10268000.0,0
1999-02-16,17.5,17.625,17.28,17.53,8878000.0,0
1999-02-17,17.53,18.345,17.44,18.25,12792400.0,0
1999-02-18,18.345,18.565,18.25,18.5,9672000.0,0
1999-02-19,18.5,18.5,18.28,18.315,5730200.0,0
1999-02-22,18.405,18.815,18.375,18.78,5643000.0,0
1999-02-23,18.75,18.94,18.5,18.565,5599000.0,0
1999-02-24,18.69,18.845,17.905,18.0,5960000.0,0
1999-02-25,17.875,18.5,17.75,18.47,6735800.0,0
1999-02-26,18.53,18.625,18.155,18.375,7216200.0,0
1999-03-01,18.375,18.53,18.065,18.53,6550600.0,0
1999-03-02,18.69,19.19,18.625,18.75,12225600.0,0
1999-03-03,18.72,18.94,18.28,18.5,6249600.0,0
1999-03-04,18.875,19.065,18.75,18.97,9633800.0,0
1999-03-05,19.5,19.595,19.0,19.405,8567600.0,0
1999-03-08,19.125,19.5,19.0,19.405,3815400.0,0
1999-03-09,19.44,19.5,18.875,18.97,7321200.0,0
1999-03-10,19.03,19.47,18.69,19.47,5638600.0,0
1999-03-11,19.47,19.75,19.315,19.75,8827200.0,0
1999-03-12,19.875,19.875,19.315,19.44,5252400.0,0
1999-03-15,19.065,19.75,19.0,19.315,7726800.0,0
1999-03-16,19.375,19.44,18.47,18.72,8311800.0,0
1999-03-17,18.595,18.625,17.875,18.125,6698800.0,0
1999-03-18,18.095,19.44,18.065,19.375,7744400.0,0
1999-03-19,19.5,19.565,19.19,19.28,10638000.0,0
1999-03-22,19.25,19.53,19.22,19.47,5718600.0,0
1999-03-23,19.405,19.905,18.565,18.75,6386000.0,0
1999-03-24,18.565,18.69,18.44,18.595,5185000.0,0
1999-03-25,18.815,19.03,18.53,18.625,6612400.0,0
1999-03-26,18.315,18.44,18.125,18.22,5681200.0,0
1999-03-29,18.22,18.78,18.22,18.78,5366000.0,0
1999-03-30,18.25,18.72,18.0,18.065,6666200.0,0
1999-03-31,18.28,18.375,17.53,17.53,10187000.0,0
1999-04-01,17.655,18.345,17.19,18.345,8848200.0,0
1999-04-05,18.44,18.815,18.345,18.69,7035000.0,0
1999-04-06,18.815,19.19,18.625,18.94,6516800.0,0
1999-04-07,19.095,19.5,19.065,19.47,7226400.0,0
1999-04-08,19.75,19.815,19.625,19.75,11306000.0,0
1999-04-09,19.78,19.875,19.625,19.875,5253000.0,0
1999-04-12,19.75,20.0,19.655,19.94,6198600.0,0
1999-04-13,19.845,19.94,19.625,19.69,6293200.0,0
1999-04-14,19.94,20.405,19.69,19.69,17781400.0,0
1999-04-15,19.75,20.22,19.625,20.095,7337200.0,0
1999-04-16,20.125,20.22,19.78,20.22,6437200.0,0
1999-04-19,20.25,20.845,20.25,20.565,14633400.0,0
1999-04-20,20.94,21.25,20.69,21.19,13837600.0,0
1999-04-21,21.19,21.375,20.78,21.22,11038000.0,0
1999-04-22,21.155,21.375,20.75,21.345,9098800.0,0
1999-04-23,21.28,21.47,21.155,21.375,4410200.0,0
1999-04-26,21.405,21.69,21.25,21.345,7516400.0,0
1999-04-27,21.345,22.065,21.155,22.0,8627600.0,0
1999-04-28,22.0,22.28,21.72,21.94,8368400.0,0
1999-04-29,22.0,22.44,21.565,21.875,7768400.0,0
1999-04-30,21.94,22.25,21.22,21.595,7558400.0,0
1999-05-03,21.47,21.97,21.28,21.97,5627600.0,0
1999-05-04,21.78,21.94,21.125,21.905,8648000.0,0
1999-05-05,21.78,21.97,21.47,21.94,6595000.0,0
1999-05-06,21.815,21.815,21.315,21.565,4680200.0,0
1999-05-07,21.53,21.905,21.375,21.565,3529400.0,0
1999-05-10,21.625,21.625,21.065,21.095,3845600.0,0
1999-05-11,21.125,21.565,20.97,21.375,4089400.0,0
1999-05-12,21.5,21.78,20.875,21.47,5056600.0,0
1999-05-13,21.655,21.97,21.5,21.69,4077800.0,0
1999-05-14,21.22,21.405,20.94,21.0,4725000.0,0
1999-05-17,21.0,21.065,20.375,20.44,6373600.0,0
1999-05-18,20.25,20.655,19.94,20.095,5292800.0,0
1999-05-19,20.565,20.72,20.375,20.625,4681200.0,0
