date,open,high,low,close,volume,padding
1999-01-04,52.0,52.06,49.56,49.88,683600.0,0
1999-01-05,49.69,51.31,49.69,50.31,595100.0,0
1999-01-06,50.31,50.94,50.12,50.75,457900.0,0
1999-01-07,50.5,51.56,50.5,50.94,406900.0,0
1999-01-08,51.19,55.5,51.0,55.38,862500.0,0
1999-01-11,55.06,56.25,54.5,55.38,1372500.0,0
1999-01-12,55.12,56.19,54.44,54.44,1148700.0,0
1999-01-13,53.19,53.88,51.75,53.88,1024600.0,0
1999-01-14,53.81,54.38,53.0,53.0,1262800.0,0
1999-01-15,54.0,57.69,53.88,56.38,1105700.0,0
1999-01-19,56.44,56.44,54.06,55.5,706200.0,0
1999-01-20,55.5,57.62,55.25,56.0,1209600.0,0
1999-01-21,56.0,57.69,56.0,57.06,1228800.0,0
1999-01-22,56.5,56.5,53.0,53.0,832300.0,0
1999-01-25,53.88,55.25,53.75,54.62,636400.0,0
1999-01-26,54.25,55.56,53.69,54.31,532300.0,0
1999-01-27,54.5,55.0,51.94,51.94,570100.0,0
1999-01-28,52.19,53.38,51.62,52.44,445400.0,0
1999-01-29,52.25,54.88,52.25,54.12,537300.0,0
1999-02-01,54.25,55.12,53.44,53.69,488000.0,0
1999-02-02,52.56,55.69,52.56,55.69,682400.0,0
1999-02-03,55.5,55.94,53.12,53.75,597900.0,0
1999-02-04,53.94,55.94,53.0,54.75,809500.0,0
1999-02-05,55.25,57.0,55.19,56.12,879300.0,0
1999-02-08,56.12,58.25,55.06,55.12,692900.0,0
1999-02-09,54.69,55.5,54.44,54.62,399700.0,0
1999-02-10,54.38,54.88,52.62,52.88,373900.0,0
1999-02-11,52.69,52.69,51.88,52.38,532100.0,0
1999-02-12,52.75,53.44,52.62,53.0,512200.0,0
1999-02-16,54.0,54.56,52.69,52.94,291200.0,0
1999-02-17,53.19,53.94,52.25,52.5,231800.0,0
1999-02-18,52.62,54.0,52.5,53.69,622100.0,0
1999-02-19,53.69,54.94,53.12,54.75,643500.0,0
1999-02-22,54.75,56.94,54.5,56.94,842400.0,0
1999-02-23,56.56,56.56,53.94,54.06,789000.0,0
1999-02-24,54.31,55.38,53.88,53.88,818100.0,0
1999-02-25,54.06,54.56,53.75,54.25,253300.0,0
1999-02-26,54.81,56.0,54.62,55.75,331300.0,0
1999-03-01,55.31,56.81,54.69,55.81,570300.0,0
1999-03-02,55.75,55.75,54.56,54.62,306000.0,0
1999-03-03,54.62,55.0,53.56,54.19,226600.0,0
1999-03-04,54.5,55.19,52.94,53.19,547200.0,0
1999-03-05,53.5,54.44,53.31,54.25,443000.0,0
1999-03-08,53.94,53.94,52.19,52.69,514300.0,0
1999-03-09,53.0,54.25,53.0,54.0,547000.0,0
1999-03-10,53.94,55.94,53.88,55.81,410500.0,0
1999-03-11,55.75,55.75,54.19,54.25,646400.0,0
1999-03-12,54.81,57.44,54.69,57.25,1177500.0,0
1999-03-15,57.25,59.25,57.25,58.31,987900.0,0
1999-03-16,58.25,59.25,57.5,58.0,1144400.0,0
1999-03-17,58.0,60.12,58.0,59.62,1318000.0,0
1999-03-18,59.56,62.0,59.12,60.25,1527100.0,0
1999-03-19,60.0,60.25,58.06,59.69,1013200.0,0
1999-03-22,59.94,60.75,59.62,59.88,532400.0,0
1999-03-23,59.94,60.12,58.0,58.25,360000.0,0
1999-03-24,58.25,58.25,57.19,57.62,237400.0,0
1999-03-25,57.81,58.0,56.12,57.88,705300.0,0
1999-03-26,57.88,57.88,56.0,56.31,314400.0,0
1999-03-29,56.88,58.38,56.81,57.44,554300.0,0
1999-03-30,55.0,56.81,54.94,56.0,510300.0,0
1999-03-31,55.62,57.12,54.62,55.5,612900.0,0
1999-04-01,55.56,57.75,55.56,57.75,332100.0,0
1999-04-05,57.75,58.44,57.06,57.44,432300.0,0
1999-04-06,57.25,57.25,55.75,55.94,433300.0,0
1999-04-07,56.06,57.12,55.62,57.12,387500.0,0
1999-04-08,57.12,58.25,56.69,57.75,448000.0,0
1999-04-09,58.0,59.94,57.81,59.75,490300.0,0
1999-04-12,60.81,62.12,60.31,62.12,1075100.0,0
1999-04-13,62.75,64.44,62.44,64.44,1742900.0,0
1999-04-14,66.25,67.88,64.38,64.38,2373100.0,0
1999-04-15,64.38,68.75,64.12,66.44,3111500.0,0
1999-04-16,66.12,67.75,65.81,66.0,1569600.0,0
1999-04-19,66.38,69.69,65.75,66.06,1809800.0,0
1999-04-20,66.0,67.75,65.06,67.31,1317600.0,0
1999-04-21,67.38,68.0,65.06,65.06,1158300.0,0
1999-04-22,65.44,67.56,64.31,67.19,745900.0,0
1999-04-23,66.56,67.75,66.44,66.62,690300.0,0
1999-04-26,66.62,67.69,66.12,67.62,447100.0,0
1999-04-27,67.81,68.31,66.69,68.19,705600.0,0
1999-04-28,68.12,70.0,68.0,69.5,894400.0,0
1999-04-29,69.0,69.19,67.5,69.0,991500.0,0
1999-04-30,69.06,69.38,67.12,67.25,944300.0,0
1999-05-03,67.06,71.25,67.06,71.25,882100.0,0
1999-05-04,71.25,72.38,67.75,68.31,1001700.0,0
1999-05-05,68.62,69.75,67.12,68.31,942900.0,0
1999-05-06,67.69,70.44,67.56,69.75,859500.0,0
1999-05-07,69.75,72.25,69.5,72.12,1166500.0,0
1999-05-10,73.12,73.94,71.5,71.75,1211300.0,0
1999-05-11,71.69,72.69,69.25,69.25,672600.0,0
1999-05-12,68.75,70.62,67.81,68.5,532500.0,0
1999-05-13,68.56,68.81,66.69,66.69,657400.0,0
1999-05-14,66.62,69.69,66.0,68.75,668700.0,0
1999-05-17,70.31,70.62,67.75,67.75,978800.0,0
1999-05-18,67.25,67.5,65.5,65.88,469300.0,0
1999-05-19,64.88,67.31,64.62,67.06,745100.0,0
1999-05-20,67.5,70.06,67.5,68.75,913000.0,0
1999-05-21,67.94,68.62,66.81,67.81,402900.0,0
1999-05-24,67.81,69.44,67.75,67.75,575100.0,0
1999-05-25,68.56,71.0,65.62,65.62,877900.0,0
1999-05-26,65.62,66.94,65.25,66.06,783000.0,0
1999-05-27,65.31,65.44,62.06,62.5,955700.0,0
1999-05-28,63.0,63.12,61.06,62.06,463500.0,0
1999-06-01,61.81,67.31,61.81,66.94,1117000.0,0
1999-06-02,67.0,67.19,65.94,66.94,688800.0,0
1999-06-03,66.69,67.0,65.38,66.5,887300.0,0
1999-06-04,66.25,67.38,65.56,67.38,392200.0,0
1999-06-07,66.94,67.69,66.75,67.38,272100.0,0
1999-06-08,67.38,69.69,67.12,68.88,542600.0,0
