date,open,high,low,close,volume,padding
1999-01-04,16.265,16.782,15.875,16.672,9325600.0,0
1999-01-05,16.5,17.782,16.407,17.39,11595600.0,0
1999-01-06,17.625,17.688,17.015,17.235,10248000.0,0
1999-01-07,17.0,17.22,16.672,17.11,9525600.0,0
1999-01-08,17.032,17.25,16.47,17.125,10913600.0,0
1999-01-11,17.125,17.25,16.625,16.938,5781200.0,0
1999-01-12,16.953,16.97,16.25,16.25,4152800.0,0
1999-01-13,15.845,17.595,15.312999999999999,17.125,15625600.0,0
1999-01-14,17.188,17.5,16.72,17.015,10597200.0,0
1999-01-15,17.0,18.345,16.782,18.22,10977600.0,0
1999-01-19,18.345,18.765,17.86,18.75,9430800.0,0
1999-01-20,20.422,21.906999999999996,20.313,20.531999999999996,33289200.0,0
1999-01-21,20.345,21.656999999999996,19.407,19.532,14620800.0,0
1999-01-22,19.235,19.938,19.188,19.547,9624000.0,0
1999-01-25,19.563,19.907,19.172,19.282,5303200.0,0
1999-01-26,19.282,20.75,19.265,20.64,10776400.0,0
1999-01-27,20.595,20.595,19.688,19.953,9088000.0,0
1999-01-28,19.845,20.875,19.703,20.875,8248000.0,0
1999-01-29,20.938000000000002,21.438000000000002,20.563000000000002,20.75,5778400.0,0
1999-02-01,20.875,20.97,20.203,20.313,3422400.0,0
1999-02-02,20.328,20.345,19.36,19.625,6450000.0,0
1999-02-03,19.5,20.72,19.345,20.563000000000002,6437200.0,0
1999-02-04,20.72,21.125,20.47,20.515,8914000.0,0
1999-02-05,20.531999999999996,20.938000000000002,18.782,19.422,13060800.0,0
1999-02-08,19.845,20.157,19.438,19.938,11307200.0,0
1999-02-09,20.125,20.688000000000002,18.875,18.97,9799600.0,0
1999-02-10,18.89,19.595,18.47,18.97,9130400.0,0
1999-02-11,19.063,20.595,18.938,20.531999999999996,9686400.0,0
1999-02-12,20.095,20.407,19.25,19.282,8468000.0,0
1999-02-16,19.75,20.172,18.657,19.265,8750800.0,0
1999-02-17,18.97,19.875,18.813,18.835,7212800.0,0
1999-02-18,19.22,19.375,17.97,18.875,10378400.0,0
1999-02-19,19.11,19.235,18.438,18.797,4294400.0,0
1999-02-22,18.688,20.47,18.563,20.47,10005200.0,0
1999-02-23,20.485,20.5,19.782,20.203,5714800.0,0
1999-02-24,20.375,20.5,19.875,20.032,6341200.0,0
1999-02-25,19.813,19.907,18.532,18.765,13264000.0,0
1999-02-26,18.5,18.595,17.0,17.438,16975600.0,0
1999-03-01,17.532,17.938,16.563,17.422,19194400.0,0
1999-03-02,17.595,17.657,16.438,16.595,8372400.0,0
1999-03-03,17.0,17.313,16.438,17.297,9858000.0,0
1999-03-04,17.563,18.032,16.797,17.282,7804000.0,0
1999-03-05,17.938,19.282,17.845,19.203,10389200.0,0
1999-03-08,19.61,20.125,19.47,19.813,7295200.0,0
1999-03-09,19.813,20.375,19.188,19.36,8670400.0,0
1999-03-10,19.532,20.078,19.328,20.032,6371200.0,0
1999-03-11,20.282,20.453,19.282,19.595,7894000.0,0
1999-03-12,19.75,19.75,17.78,18.75,3473400.0,0
1999-03-15,18.75,19.28,18.19,18.78,4585400.0,0
1999-03-16,18.97,20.44,18.44,19.875,6612200.0,0
1999-03-17,19.845,20.69,19.065,19.97,6557000.0,0
1999-03-18,19.94,20.595,19.815,20.595,3646200.0,0
1999-03-19,20.94,21.03,19.5,19.53,5644000.0,0
1999-03-22,19.565,19.565,18.565,18.845,3077000.0,0
1999-03-23,18.815,18.845,17.69,17.75,5190000.0,0
1999-03-24,17.815,19.0,17.69,18.625,4839000.0,0
1999-03-25,19.28,19.28,18.565,19.095,3464000.0,0
1999-03-26,19.0,19.69,18.565,18.69,2832600.0,0
1999-03-29,18.875,20.28,18.72,20.28,4774800.0,0
1999-03-30,20.19,20.75,19.125,19.25,5208000.0,0
1999-03-31,21.19,21.47,19.94,20.28,6431800.0,0
1999-04-01,20.69,21.94,20.25,21.815,7579800.0,0
1999-04-05,22.28,24.44,22.28,24.25,12519800.0,0
1999-04-06,24.22,24.845,23.375,23.655,8687800.0,0
1999-04-07,24.19,24.375,22.125,22.155,10838800.0,0
1999-04-08,22.155,24.22,21.595,24.22,5868200.0,0
1999-04-09,24.095,24.44,23.125,23.815,2888600.0,0
1999-04-12,23.065,23.44,22.25,22.565,6368600.0,0
1999-04-13,22.815,23.565,21.875,21.905,7571400.0,0
1999-04-14,22.875,24.69,22.375,23.875,8093600.0,0
1999-04-15,24.69,24.94,21.94,24.75,13129000.0,0
1999-04-16,24.44,24.875,23.75,24.03,5990000.0,0
1999-04-19,24.75,24.815,22.25,22.625,6989600.0,0
1999-04-20,22.72,24.94,22.375,24.875,7368400.0,0
1999-04-21,25.315,27.19,24.875,26.065,10532800.0,0
1999-04-22,26.78,27.095,25.19,26.565,11407200.0,0
1999-04-23,24.75,25.0,23.125,24.19,16097600.0,0
1999-04-26,24.655,24.75,23.565,24.22,7615400.0,0
1999-04-27,24.22,24.25,22.0,22.065,9431400.0,0
1999-04-28,22.19,23.125,21.69,21.97,8199600.0,0
1999-04-29,22.25,22.94,21.5,22.875,5797000.0,0
1999-04-30,23.065,23.44,21.72,22.815,5117400.0,0
1999-05-03,23.125,24.0,22.875,23.565,4813600.0,0
1999-05-04,23.565,24.315,23.28,23.565,4188800.0,0
1999-05-05,23.595,25.0,22.03,25.0,7061200.0,0
1999-05-06,24.19,24.44,22.72,23.065,4623600.0,0
1999-05-07,23.5,23.97,21.72,23.19,8494800.0,0
1999-05-10,23.125,23.905,22.315,22.78,4415600.0,0
1999-05-11,23.065,23.565,22.375,23.565,3165000.0,0
1999-05-12,23.565,24.815,22.44,24.815,6245200.0,0
1999-05-13,24.845,25.0,23.5,23.69,4878000.0,0
1999-05-14,23.065,23.72,22.845,23.315,3223800.0,0
1999-05-17,23.19,25.0,22.815,25.0,6170600.0,0
1999-05-18,24.875,24.94,23.875,24.375,4107000.0,0
1999-05-19,24.405,25.5,23.905,25.5,5020600.0,0
1999-05-20,25.345,25.94,23.78,23.815,5012600.0,0
1999-05-21,24.345,24.5,23.065,23.595,3893000.0,0
1999-05-24,23.75,24.19,22.875,23.25,3322800.0,0
1999-05-25,23.22,23.565,20.25,20.28,11486400.0,0
1999-05-26,20.875,21.28,19.5,20.625,13566200.0,0
1999-05-27,20.625,22.47,20.065,21.97,7237000.0,0
1999-05-28,22.19,22.375,21.155,22.22,4735600.0,0
1999-06-01,22.0,22.69,21.155,21.25,3859200.0,0
1999-06-02,21.22,23.375,20.28,23.345,6169600.0,0
1999-06-03,22.905,22.94,21.625,21.94,6720000.0,0
1999-06-04,22.315,23.44,22.25,23.25,6789200.0,0
1999-06-07,23.28,23.72,22.69,23.595,3159800.0,0
1999-06-08,23.53,24.405,22.75,22.75,3644400.0,0
1999-06-09,23.375,24.565,23.28,24.53,5008000.0,0
1999-06-10,23.97,25.0,23.845,24.25,4742400.0,0
1999-06-11,24.625,24.94,23.69,24.22,2317400.0,0
1999-06-14,24.625,25.315,24.375,24.97,5493600.0,0
1999-06-15,25.19,25.72,25.125,25.315,7447200.0,0
1999-06-16,25.94,27.095,25.875,27.065,5361800.0,0
1999-06-17,26.565,27.25,26.375,27.065,6124800.0,0
1999-06-18,26.5,27.0,26.345,26.345,5601600.0,0
1999-06-21,26.69,27.5,26.69,27.44,4852800.0,0
1999-06-22,27.44,29.065,27.155,27.44,5581800.0,0
1999-06-23,27.75,28.44,27.375,28.065,4884400.0,0
1999-06-24,28.03,28.065,26.19,26.72,6877400.0,0
1999-06-25,27.25,27.625,26.315,26.565,4222000.0,0
1999-06-28,26.815,27.625,26.315,27.065,4742400.0,0
