date,open,high,low,close,volume,padding
1999-01-04,236.2,239.2,234.6,235.6,846550.0,0
1999-01-05,235.6,242.0,235.6,240.0,424300.0,0
1999-01-06,240.0,245.0,237.2,244.6,898700.0,0
1999-01-07,243.2,245.2,240.0,243.6,771650.0,0
1999-01-08,244.8,246.8,237.0,242.4,686700.0,0
1999-01-11,239.8,246.6,239.6,245.8,632900.0,0
1999-01-12,245.0,245.0,234.6,235.2,650700.0,0
1999-01-13,225.0,233.8,217.2,228.6,1612850.0,0
1999-01-14,228.6,231.2,218.0,222.0,1052550.0,0
1999-01-15,225.6,232.8,225.2,232.8,856700.0,0
1999-01-19,232.8,235.2,231.6,234.6,786200.0,0
1999-01-20,236.6,245.8,232.8,233.2,953400.0,0
1999-01-21,231.2,235.2,223.2,224.2,826100.0,0
1999-01-22,223.6,224.6,216.8,219.4,461150.0,0
1999-01-25,219.4,221.0,210.8,210.8,610650.0,0
1999-01-26,229.0,237.6,228.2,232.6,1612150.0,0
1999-01-27,232.2,236.6,231.6,232.6,766950.0,0
1999-01-28,234.0,240.0,234.0,239.4,515050.0,0
1999-01-29,243.0,252.0,242.0,248.0,1094950.0,0
1999-02-01,245.2,246.0,241.6,245.6,541000.0,0
1999-02-02,243.6,244.4,239.0,243.0,468250.0,0
1999-02-03,242.0,245.8,240.8,245.2,836800.0,0
1999-02-04,245.6,245.8,234.0,237.4,737700.0,0
1999-02-05,237.6,239.6,230.2,233.6,672900.0,0
1999-02-08,234.8,236.8,231.2,235.6,401750.0,0
1999-02-09,235.2,236.8,224.6,226.6,482850.0,0
1999-02-10,231.0,237.0,227.6,237.0,888350.0,0
1999-02-11,239.0,245.2,238.0,244.6,1196900.0,0
1999-02-12,242.2,243.0,236.0,236.6,573350.0,0
1999-02-16,237.8,240.6,229.0,229.6,620750.0,0
1999-02-17,228.0,233.8,224.6,224.6,648550.0,0
1999-02-18,226.0,231.4,225.2,230.0,582700.0,0
1999-02-19,228.2,233.6,226.6,232.0,463350.0,0
1999-02-22,232.2,241.8,232.0,241.2,513200.0,0
1999-02-23,246.0,248.0,240.8,245.6,749500.0,0
1999-02-24,242.0,243.76,228.52,232.0,271637.5,0
1999-02-25,228.0,234.76,225.0,228.76,646850.0,0
1999-02-26,228.76,229.24,216.52,220.76,708275.0,0
1999-03-01,224.0,227.24,217.52,222.0,660050.0,0
1999-03-02,225.0,231.0,221.52,223.0,590100.0,0
1999-03-03,220.0,222.52,214.0,219.52,682750.0,0
1999-03-04,219.0,219.0,210.0,213.52,1169100.0,0
1999-03-05,217.0,222.0,214.0,216.0,905575.0,0
1999-03-08,220.0,231.52,217.52,231.52,740175.0,0
1999-03-09,225.0,230.52,221.0,221.24,663125.0,0
1999-03-10,226.0,226.0,219.0,225.52,837550.0,0
1999-03-11,225.52,229.0,217.24,220.0,509250.0,0
1999-03-12,219.24,219.24,205.76,207.0,997975.0,0
1999-03-15,212.0,217.76,207.52,216.0,608950.0,0
1999-03-16,220.52,220.76,213.24,215.52,469375.0,0
1999-03-17,215.76,220.76,215.24,220.0,342850.0,0
1999-03-18,213.0,217.0,211.0,213.24,423300.0,0
1999-03-19,218.76,219.52,211.0,213.0,574325.0,0
1999-03-22,217.52,217.52,212.0,214.76,320475.0,0
1999-03-23,214.24,214.52,207.52,212.0,882225.0,0
1999-03-24,214.0,214.52,208.24,211.0,692100.0,0
1999-03-25,217.52,220.0,214.0,219.24,648925.0,0
1999-03-26,219.52,220.0,210.24,210.24,888000.0,0
1999-03-29,212.52,218.52,208.0,209.0,696725.0,0
1999-03-30,209.52,211.76,204.0,206.52,707000.0,0
1999-03-31,208.0,213.52,204.24,208.52,606600.0,0
1999-04-01,212.24,212.76,207.52,210.0,543975.0,0
1999-04-05,216.0,222.0,212.0,221.24,550250.0,0
1999-04-06,221.52,229.0,218.76,228.52,629875.0,0
1999-04-07,230.52,239.24,229.0,238.24,730400.0,0
1999-04-08,240.0,243.0,234.24,241.0,644400.0,0
1999-04-09,239.76,240.0,232.52,238.52,482875.0,0
1999-04-12,233.52,237.0,228.24,236.0,446300.0,0
1999-04-13,235.24,235.24,225.52,227.24,372000.0,0
1999-04-14,228.52,234.52,223.76,225.0,326125.0,0
1999-04-15,226.0,227.52,216.52,217.76,604650.0,0
1999-04-16,221.52,221.76,215.52,220.52,638200.0,0
1999-04-19,222.0,231.24,218.0,226.0,917000.0,0
