date,open,high,low,close,volume,padding
1999-01-04,62.31,62.5,59.0,60.31,522100.0,0
1999-01-05,60.25,61.5,60.06,60.19,257100.0,0
1999-01-06,60.75,61.0,59.75,60.19,179200.0,0
1999-01-07,59.75,60.0,58.0,59.75,150900.0,0
1999-01-08,59.5,60.25,59.5,59.88,381800.0,0
1999-01-11,59.81,59.94,57.81,58.25,224500.0,0
1999-01-12,57.81,58.06,57.0,57.97,145700.0,0
1999-01-13,57.31,58.38,56.38,57.75,163900.0,0
1999-01-14,58.5,58.5,56.75,57.0,114200.0,0
1999-01-15,57.0,58.38,57.0,57.94,115900.0,0
1999-01-19,58.0,58.5,56.94,58.19,142300.0,0
1999-01-20,58.31,59.19,58.0,58.38,89600.0,0
1999-01-21,58.13,59.5,58.0,59.13,264100.0,0
1999-01-22,58.75,59.25,58.25,58.25,168700.0,0
1999-01-25,58.63,60.63,58.31,59.25,263100.0,0
1999-01-26,59.63,61.25,58.88,60.94,219600.0,0
1999-01-27,60.13,60.56,56.75,58.13,450600.0,0
1999-01-28,58.0,59.19,57.81,59.19,494700.0,0
1999-01-29,59.13,59.75,57.75,58.0,251500.0,0
1999-02-01,58.0,62.13,58.0,60.0,1054100.0,0
1999-02-02,59.81,61.13,59.5,61.0,538900.0,0
1999-02-03,60.25,60.75,60.0,60.5,220300.0,0
1999-02-04,60.25,60.63,59.75,60.38,284600.0,0
1999-02-05,60.63,61.06,60.0,60.5,354600.0,0
1999-02-08,60.25,60.63,59.75,59.88,354600.0,0
1999-02-09,59.88,60.38,59.63,60.09,791200.0,0
1999-02-10,59.81,60.44,59.19,59.88,384300.0,0
1999-02-11,60.25,60.25,59.38,60.13,148700.0,0
1999-02-12,59.56,61.5,59.13,60.63,324200.0,0
1999-02-16,61.13,62.38,60.88,61.63,197900.0,0
1999-02-17,61.25,62.5,61.0,61.44,131200.0,0
1999-02-18,61.5,62.25,61.13,61.63,172200.0,0
1999-02-19,61.63,61.88,60.38,60.88,281700.0,0
1999-02-22,61.56,62.44,61.0,61.94,171400.0,0
1999-02-23,61.88,62.94,61.69,62.0,120000.0,0
1999-02-24,61.75,63.13,61.69,62.44,329400.0,0
1999-02-25,61.75,61.94,60.75,61.69,374400.0,0
1999-02-26,61.5,64.19,61.31,64.0,550100.0,0
1999-03-01,63.94,65.0,63.38,64.75,329400.0,0
1999-03-02,64.56,65.38,64.44,65.0,290400.0,0
1999-03-03,64.75,65.13,64.25,64.25,335700.0,0
1999-03-04,64.25,66.38,64.25,66.0,419100.0,0
1999-03-05,66.44,67.06,65.75,66.81,216300.0,0
1999-03-08,66.81,68.5,66.38,67.03,351800.0,0
1999-03-09,67.0,67.0,65.88,65.88,224400.0,0
1999-03-10,66.06,67.0,65.75,67.0,192100.0,0
1999-03-11,67.0,68.0,66.25,67.63,330200.0,0
1999-03-12,68.0,68.06,66.0,66.75,305200.0,0
1999-03-15,66.81,68.0,66.5,67.69,278100.0,0
1999-03-16,67.38,68.19,66.75,68.0,284300.0,0
1999-03-17,68.25,68.25,67.69,67.88,190400.0,0
1999-03-18,67.63,68.25,67.63,68.13,206800.0,0
1999-03-19,67.56,67.88,66.44,66.44,324200.0,0
1999-03-22,66.44,67.0,66.0,66.63,191600.0,0
1999-03-23,66.0,66.5,65.44,65.44,153400.0,0
1999-03-24,65.63,65.63,63.38,64.94,205500.0,0
1999-03-25,65.44,67.31,65.25,66.56,231500.0,0
1999-03-26,66.69,67.38,65.63,66.31,123300.0,0
1999-03-29,66.5,67.25,66.5,67.13,206000.0,0
1999-03-30,67.0,67.19,66.38,66.44,187500.0,0
1999-03-31,66.75,66.75,65.44,66.5,712500.0,0
1999-04-01,66.38,66.38,65.13,66.13,151100.0,0
1999-04-05,66.0,68.13,65.63,67.81,230200.0,0
1999-04-06,67.63,68.0,65.13,65.13,275100.0,0
1999-04-07,65.5,66.25,65.25,65.28,343200.0,0
1999-04-08,65.69,67.63,65.19,67.25,158400.0,0
1999-04-09,67.63,67.75,66.63,67.38,144500.0,0
1999-04-12,67.5,67.69,66.75,67.38,246100.0,0
1999-04-13,67.38,68.38,66.38,67.0,173000.0,0
1999-04-14,67.0,70.75,66.63,68.56,658500.0,0
1999-04-15,69.5,69.88,68.5,68.75,349200.0,0
1999-04-16,69.38,69.5,68.63,69.0,135300.0,0
1999-04-19,69.63,72.13,69.31,70.69,279800.0,0
1999-04-20,70.5,71.56,69.88,70.69,315800.0,0
1999-04-21,71.0,75.88,70.13,75.88,522400.0,0
1999-04-22,74.38,74.5,69.0,69.5,308300.0,0
1999-04-23,70.0,70.0,69.0,69.13,275900.0,0
1999-04-26,69.13,70.94,69.13,69.38,194600.0,0
1999-04-27,69.38,70.75,69.25,70.0,274900.0,0
1999-04-28,70.0,70.38,69.5,69.5,275800.0,0
1999-04-29,69.38,69.63,68.0,68.19,244800.0,0
1999-04-30,68.0,68.63,65.88,66.69,524800.0,0
1999-05-03,67.13,67.25,66.69,67.06,464600.0,0
1999-05-04,67.5,67.5,65.13,65.22,479200.0,0
1999-05-05,65.13,65.63,64.38,64.5,948500.0,0
1999-05-06,64.25,64.75,61.5,62.5,406600.0,0
1999-05-07,63.56,64.81,63.0,64.5,544200.0,0
1999-05-10,64.19,64.94,63.75,64.88,404100.0,0
1999-05-11,64.94,66.13,64.75,65.94,370400.0,0
1999-05-12,66.13,66.13,64.63,65.38,229400.0,0
1999-05-13,65.5,66.13,65.38,66.0,242800.0,0
1999-05-14,65.5,66.0,63.0,63.0,357100.0,0
1999-05-17,63.19,63.5,61.5,61.5,420500.0,0
1999-05-18,61.5,63.63,61.5,62.0,276200.0,0
1999-05-19,62.25,63.25,61.88,62.63,107400.0,0
1999-05-20,62.0,63.0,62.0,62.5,184600.0,0
1999-05-21,62.88,62.88,61.69,61.75,221300.0,0
1999-05-24,61.75,62.13,60.88,61.63,222500.0,0
1999-05-25,61.75,61.75,60.38,60.44,315900.0,0
1999-05-26,60.5,62.06,60.38,61.56,366100.0,0
1999-05-27,61.63,61.75,61.13,61.63,249200.0,0
1999-05-28,61.63,64.38,61.5,63.75,291400.0,0
1999-06-01,63.5,63.81,61.63,63.38,228300.0,0
1999-06-02,63.75,64.13,63.38,63.88,195000.0,0
1999-06-03,63.94,65.38,63.19,64.94,282300.0,0
1999-06-04,64.94,65.88,64.5,65.38,157100.0,0
1999-06-07,61.06,61.06,56.31,58.59,4267100.0,0
1999-06-08,59.44,59.5,57.63,57.63,1825700.0,0
1999-06-09,57.56,57.56,55.94,56.31,443000.0,0
1999-06-10,56.0,56.19,54.56,55.0,425800.0,0
1999-06-11,55.13,55.75,54.88,55.56,657700.0,0
1999-06-14,55.75,56.0,54.25,54.31,437900.0,0
1999-06-15,54.38,54.81,54.0,54.09,344500.0,0
1999-06-16,54.75,55.5,54.5,55.25,644200.0,0
1999-06-17,55.25,55.63,54.88,55.56,314100.0,0
1999-06-18,55.56,56.38,55.5,56.31,606800.0,0
1999-06-21,56.38,58.0,56.19,56.55,769300.0,0
1999-06-22,57.88,59.0,57.25,58.94,1235500.0,0
1999-06-23,58.88,60.5,58.81,59.75,629900.0,0
1999-06-24,59.88,60.13,59.38,59.5,746100.0,0
1999-06-25,59.63,59.63,59.25,59.5,474700.0,0
1999-06-28,59.56,60.38,59.38,60.25,669800.0,0
1999-06-29,60.56,62.69,60.5,62.69,707900.0,0
1999-06-30,63.0,63.75,62.5,63.5,564300.0,0
1999-07-01,63.5,64.44,63.31,64.19,344900.0,0
1999-07-02,64.25,64.25,62.56,62.56,422300.0,0
